episode_number,episode_title,episode_duration,episode_synopsis,original_airdate,american_airdate,url,season_id,series_id
123,Body and Soul Full Power Release! Goku and Vegeta!!,30,"With Vegeta down, Goku faces off against Jiren. Meanwhile, the other battles continue. Frieza decides to start fighting Dyspo seriously, while Gohan and No. 17 are outmatched against Toppo. Outmatched in power, Goku instead uses ki blasts to create a minefield around Jiren, but it has no effect. Goku then lures Jiren onto a large rock that extends out over the edge of the fighting stage and cuts through the rock with a Destructo Disc. This causes Jiren to fall, but Jiren is able to push off the falling debris and jumps back onto the fighting stage. Angered by his near-elimination, Jiren finally shows his real power and easily overwhelms Goku with a volley of punches. Goku and Vegeta both get back up and power up to Super Saiyan Blue. Goku uses his maximum Kaioken beyond his previous limitations, while Vegeta is able to surpass his limits by tapping into more ki in his body, and attains a transformation similar to the Ascended Super Saiyan form, the Super Saiyan Blue Evolution form. Fully powered up, Goku and Vegeta attack Jiren as a team, and they are able to catch him off guard with their un-coordinated attacks.",1/14/2018,,,5,5
124,The Fiercely Overwhelming Assault! Gohans Last Stand!!,30,"As Goku and Vegeta continue their battle with Jiren, the battle between Dyspo and Frieza intensifies. The two seem evenly matched, until Frieza breaks off the fight and offers to help Universe 11 win the tournament if they promise to resurrect him with the Super Dragon Balls. Dyspo refuses the offer, so Frieza powers up to his Golden form and gains the advantage in the fight. Dyspo reveals his own ultimate technique, the Super Maximum Light Speed Mode, which increases his power and speed even further, and overwhelms Frieza. Gohan and No. 17 realize that Frieza is in danger of being knocked off the fighting stage, so No. 17 distracts Toppo, while Gohan goes to Frieza's aid. Gohan and Frieza take on Dyspo as a team, but they have little success. Gohan develops a strategy that has Frieza use his energy to form a cage around Dyspo, which prevents him from using his high-speed attacks and allows Gohan to gain the upper hand. Unfortunately, Frieza runs out of energy, and the cage dissolves before Gohan can land the finishing blow. However, Gohan is able to grab Dyspo and hold him in place, while Frieza launches a blast that knocks them off the fighting stage and eliminates them both from the tournament. ",1/21/2018,,,5,5
125,With Imposing Presence! God of Destruction Toppo Descends!!,30,"Goku and Vegeta continue their battle with Jiren, while No. 17 and Toppo fight. No. 17 and Toppo engage in a beam clash, which Toppo is winning. Frieza intervenes and strikes Toppo repeatedly from behind, which allows No. 17 to overpower Toppo's blast. In the wake of the explosion, Toppo appears to have been defeated. However, he gets back up and powers up, using the same type of energy as a God of Destruction. Belmod explains that Toppo is a candidate to be Universe 11's next God of Destruction, which is why he can wield the same kind of power. Toppo unleashes his new power, which damages the fighting stage and breaks a large portion of it. No. 17 and Frieza attack Toppo repeatedly, but his power is now far superior to theirs. Toppo easily defeats them both. Fortunately, they are able to stay on the fighting stage, but Toppo knocks Frieza unconscious and engages in another beam clash with No. 17. ",1/28/2018,,,5,5
126,Surpass Even a God! Vegetas Desperate Blow!!,30,"Toppo easily overpowers No. 17's blast. No. 17 is able to evade him for a while by using the broken fighting stage to his advantage, but Toppo effortlessly withstands No. 17's attacks. Toppo prepares to eliminate No. 17 with a giant energy blast. Frieza rejoins the battle and deflects Toppo's attack. Frieza uses his own energy attack to immobilize Toppo, which allows him and No. 17 to land numerous attacks, but none of them have any effect. Toppo is about to eliminate them both, when he is interrupted by Goku and Vegeta, who are still fighting Jiren. Frieza and No. 17 are hit by one of Jiren's attacks, which gives Toppo the opportunity to attack Vegeta instead. Toppo overwhelms Vegeta with his new power and states that he has cast aside everything else in order to become strong enough to win the tournament. However, Vegeta is inspired by his family, his promise to Cabba, and his Saiyan pride. He refuses to cast anything aside. Vegeta unleashes his full power and overwhelms Toppo. Vegeta and Toppo both use their ultimate attacks: Toppo unleashes his Energy of Destruction, while Vegeta uses the Final Explosion technique that he used against Majin Buu. Vegeta's attack overwhelms Toppo's attack, blasts Toppo out of the fighting stage, and eliminates him from the tournament. This also causes even more damage to the fighting stage. Due to Vegeta being much stronger than the last time he used the Final Explosion technique, he survives the blast, but his energy is almost completely drained. No. 17 also reappears, but he has been injured by Jiren's attack. Goku, Vegeta, and No. 17 all face off against Jiren, who begins to unleash his full power. ",2/4/2018,,,5,5
127,The Approaching Wall! The Final Barrier of Hope!!,30,"Jiren powers up to his maximum. Goku, Vegeta, and No. 17 all attack him simultaneously, but he easily overpowers them. However, No. 17 manages to land a sneak attack and injures Jiren. Jiren defeats Goku and Vegeta, while Frieza rejoins the fight and tries to kill Jiren in his golden form. However, Frieza is easily defeated as well. No. 17 asks Jiren what his wish on the Super Dragon Balls would be, and Belmod explains that Jiren's endless pursuit of strength was inspired when his parents, most of his comrades, and mentor were killed by a powerful villain. However, his abandonment by his surviving friends turned Jiren into a loner who distrusted friendship, and he now focuses solely on increasing his own strength. No. 17 admires Jiren's human qualities, but he accuses Jiren of using the rest of his universe's team for his own ends. Jiren rebuffs him and fires a powerful energy blast down at No. 17, Goku, and Vegeta. No. 17 uses a barrier to hold back Jiren's blast and forms force fields around Goku and Vegeta to protect them, before self-destructing to destroy Jiren's blast. Despite his exhausted state, Vegeta faces off against Jiren and declares that he will defeat him. ",2/11/2018,,,5,5
128,Noble Pride to the End! Vegeta Falls!!,30,"Vegeta prepares for a final stand against Jiren. Although Vegeta is too exhausted to turn into even a Super Saiyan, he still decides to take on Jiren. Jiren easily dodges his attacks and continues to pummel Vegeta. Jiren injures Vegeta's left eye in the process. Vegeta is knocked to the brink of elimination, and he begins to think about the people in his life he cares about the most. He gets back up and continues to fight Jiren, who is impressed by Vegeta's pride. Vegeta nearly rings out again. His boot catches onto a floating piece of rubble, which narrowly allows him to stay in the fight because the pieces of rubble still count as part of the fighting stage. Vegeta hears Bulma's voice urging him to fight on, and he returns to fight Jiren once again. Jiren is unable to understand why Vegeta continues to fight him. Vegeta fires off a Final Flash, but Jiren is unfazed. Jiren knocks Vegeta out of the fighting stage and eliminates him from the tournament. Although Vegeta is upset at being unable to last until the end, he gives Goku his remaining energy at the last second before falling out of bounds. Goku turns Super Saiyan Blue and begins to fight Jiren with his remaining power. Even with Vegeta's energy, Goku is still overwhelmed by Jiren. He is knocked back into his base form. When Goku is pushed back to the edge of the fighting stage and only one punch away from defeat, Vegeta shouts at Goku. Goku thinks about how the others have all put their faith in him. As Jiren delivers the final blow, Goku suddenly reactivates Ultra Instinct and dodges the attack. With his new power, Goku is able to effortlessly dodge Jiren's attacks and lands a heavy blow on him. Both fighters face off and prepare for their final battle. ",2/18/2018,,,5,5
129,Limits Super Surpassed! Ultra Instinct Mastered!!,30,"Whis points out that, since Goku has no allies to help him and no time to recover from the strain caused by Ultra Instinct, this will be his last chance to end the battle. Goku and Jiren resume their battle, but Goku has the same problem he experienced with Kefla, and is unable to attack at his full potential. Goku tries the same trick he used on Kefla by powering up a Kamehameha and firing it at Jiren, but Jiren is able to punch through the blast. Belmod is confident that Goku's incomplete Ultra Instinct will not be enough to win, but Vegeta points out that, throughout the tournament, all of the Saiyans have been able to surpass their limits and achieve higher levels of power. Jiren is able to trap Goku on a single floating rock and fires a barrage of attacks down at him in an attempt to knock him out, but Goku begins blocking Jiren's attacks with his own punches. Jiren launches a final blast down at Goku, but Goku suddenly powers up immensely. He easily blocks Jiren's blast and jumps back up to the fighting stage. Jiren attacks again, but this time Goku easily overpowers him with a flurry of punches. Whis reveals that Goku has completed his ascension. Goku's hair and eyes have turned silver, and he now has full mastery over Ultra Instinct. ",3/4/2018,,,5,5
130,The Greatest Showdown of All Time! The Ultimate Survival Battle!!,30,"Having mastered Ultra Instinct, Goku overpowers and corners Jiren, which forces Jiren to break through his own limits and power up even further. The two exchange attacks continuously. Despite almost being defeated twice, Goku stands up and recovers. When Jiren asks why Goku refuses to surrender, his friends claim that the source of Goku's strength comes from the trust between him and his companions. Refusing to accept it, an enraged Jiren launches an attack on the bleachers that is repelled by a furious Goku, who finally defeats him. However, just as Goku is about to knock Jiren out, his body collapses from the strain of using Ultra Instinct for too long. Jiren takes the opportunity to knock Goku off the fighting stage, but Goku is saved by Frieza. No. 17 is also revealed to have survived Jiren's blast. As Frieza and No. 17 prepare themselves to face Jiren, Goku writhes in pain. ",3/18/2018,,,5,5
131,The Miraculous Conclusion! Farewell Goku! Until We Meet Again!,30,"With Goku down, Frieza and No. 17 face off against Jiren. No. 17 manages to injure Jiren, who collapses from exhaustion. Frieza is about to eliminate Jiren, who accepts his impending defeat, but Toppo calls out to Jiren and inspires him to keep fighting despite his injuries. Jiren powers up and fires a massive blast at Frieza and No. 17. They form a barrier to shield themselves, but Frieza is running low on energy and loses his Golden form. Before Jiren can overpower them, Goku manages to get back up and rejoins the others. Goku adds his strength to the barrier and enables them to block Jiren's blast. Goku and Frieza take on Jiren together, while No. 17 provides cover fire. Working together, Goku and Frieza overpower Jiren and tackle him out of the ring. All three of them are eliminated from the tournament. With all of their fighters gone, Universe 11 is erased. As the only fighter remaining on the fighting stage, No. 17 is declared the winner of the Tournament of Power, and he is given the privilege of getting his wish granted from the Super Dragon Balls. After some consideration, No. 17 wishes to restore all of the universes that had been erased, which brings all their inhabitants back to life. As the erased universes are restored, the Grand Minister reveals that Grand Zenō and Future Grand Zenō had foresaw the outcome of a virtuous being winning the Tournament of Power who would make a selfless wish on the Super Dragon Balls. He also stated that they would have otherwise erased the entire multiverse if the winner had wished for selfish reasons, as this would have shown that the winning universe was no better than the erased universes and that the universes excluded from the tournament were not equally worthy of existing. As a reward for doing well in the tournament, Whis restores Frieza to life. In Universe 11, Jiren establishes a real friendship with Toppo and looks forward to having a rematch with Goku someday. The group from Universe 7 return home. Frieza leaves Earth and resumes leadership of his empire. Goku vows to defeat him if he starts causing trouble again. Goku and Vegeta meet for a sparring match in the place where they first fought. Goku reveals that he cannot use Ultra Instinct anymore and believes that he obtained it by accident during the tournament. Goku and Vegeta declare that they will keep finding new levels of strength. They race towards each other to fight. ",3/25/2018,,,5,5
1,The New Threat,30,"With no new battles to fight, Goku has been living a quiet life in the countryside with his wife Chi-chi...and their son Gohanr While Goku makes plans to spend a happy day with friends on Master Roshi's island, a powerful new threat is on its way to Earth. And the arrival of this sinister alien could spell disaster for Goku and his friends! ",4/26/1989,9/13/1996,https://drive.google.com/file/d/1YBN6H5VgFNMe1sx7S8LWPJbAUf9eGWHS/preview,6,2
2,Reunions,30,"Goku and Gohan attend a reunion on Master Roshi's island, where Goku introduces his son to all of his old friends. The smiles quickly fade, however, as an unexpected visitor lands on the island, and for Goku the day becomes a reunion of a different kind. A powerful alien has arrived. It's Raditz - Goku's evil older brother! ",5/3/1989,9/13/1996,https://drive.google.com/file/d/1iRq-5qrzx75UIf8sKdFSOmkHrErvp8mm/preview,6,2
3,Unlikely Alliance,30,"Raditz has kidnapped Gohan And unless Goku agrees to forsake his friends and the people of Earth by joining the sinister Saiyan, he may never see his son again! All hope is not lost, however, as a second uninvited guest arrives on the island - and Goku forges an unlikely alliance! ",5/10/1989,9/20/1996,https://drive.google.com/file/d/13zXt5nSTWmtIv1aLPoIuKnewSpnx4Qvs/preview,6,2
4,Piccolos Plan,30,"The situation lookS bleak for Goku and Piccolo, as Raditz easily deflects every attack they send his way. But Piccolo may have a way to stop the sinister Saiyan. He's perfected a powerful new attack - the Special Beam Cannon! There's only one problem. Piccolo needs time to gather the energy for the blast, which means Goku will have to last for five minutes against Raditz a loner .",5/17/1989,9/27/1996,https://drive.google.com/file/d/1dRPmHxPv8ljj2_0egw9KP8cPHtx0mGmY/preview,6,2
5,Gohans Rage,30,"As Goku takes blow after punishing blow from the evil Raditz, Gohan is able to watch no longer! The young boy's rage unlockS an awesome power sleeping within him, and he unleaShes a mighty attack that not even Radtlz can resist! But as quickly as Gohan's power appears, it vanishes. And when Raditz prepares to strike back, Goku must make the ultimate sacrifice to save his son! ",5/24/1989,10/4/1996,https://drive.google.com/file/d/1pkZD-m-sm6v8B2etK8OCj5kwJncbQMjU/preview,6,2
6,No Time Like the Present,30,"With Raditz defeated and Goku gone from this world, the surviving Z-Flghters must begin preparing for the arrival of two more Saiyans who will reach Earth in one year's time. Piccolo takes Gohan into the wild for a severe training program, in the hope that his hidden power will be revealed. Meanwhile, Goku embarkS on a new adventure in the next world, as he must travel the endless mlles of Snake Way to receive training from the legendary King Kai! ",6/7/1989,10/4/1996,https://drive.google.com/file/d/1eoNzr0dglDnO2kg8lfEprnU1TGuPRiea/preview,6,2
7,Day 1,30,"Goh an begins his first day of Piccolo's training. Alone in the wilderness, he must qulekly learn to take care of hlmself. But that isn't easy when he's tired, starving - and being chased by hungry dinosaurs! If Gohan's first day is this dangerous, how will he ever survive for the second? ",6/14/1989,10/11/1996,https://drive.google.com/file/d/1HHIe79rlve9jILaKA6vTPtKBHzevPvMM/preview,6,2
8,Gohan Goes Bananas!,30,"Krillin receives a starting message. Korin wants him to gather Yamcha, Tien, and Chiaotzu and report for special training! And if that weren't enough, he and Roshi still have to find away to tell Chi-chi what's happened to Goku and her son. Meanwhile, Gohan's training causes him to undergo a shocking transformation! ",6/21/1989,10/11/1996,https://drive.google.com/file/d/1fH5Jw3Ir5a45l-SBSuQ29TqEkrW9Q-l6/preview,6,2
9,The Strangest Robot,30,"Gahan awakes in the wilderness to find his tail gone and a new set of dothes on his back. But the puzzled boy has little time to figure out what happened before a group of wild animals try to have him for breakfast! The chase leads Gahan into the depths of an ancient cave, where he meets an old Capsule Corp robot. The robot has lived alone in the cave for over 30 years - and he's not happy to have visitors! ",6/28/1989,10/18/1996,https://drive.google.com/file/d/14e2DcVBWOUSzIgI9F62RSMQ22Iljjnsu/preview,6,2
10,A New Friend,30,"Krillin pulls Yamcha away from a rowdy baseball game to begin training at Karin Tower. Meanwhile, Gohan's adventures in the wilderness continue, as he makes a new dinosaur friend! Gahan is happy to finally have some company. That is, until he gets a harsh reminder - not all dinosaurs are friendly! ",7/5/1989,10/18/1996,https://drive.google.com/file/d/1hw5cRPKRN61jSycmzcUJl5X-AEWK6ZIy/preview,6,2
11,Terror on Arlia,30,"While Goku runs down Snake way for a meeting with King Kai, Gahan gets a very important survival lesson from a T-Rex. Meanwhile, Vegeta and Nappa head towards Earth but make a quick stop on planet Arlia and become prisoners of the tyrant king who rules the planet After a brief scufft ewith the monster Yeddy, the Arlians realize that the two Saiyans are more than they can handle as Vegeta and Nappa leave their terrible mark on the planet.",7/12/1989,10/25/1996,https://drive.google.com/file/d/10zTZjqqBEFOqRF3tPsdCNMXztPDyJMmF/preview,6,2
12,Global Training,30,"Goh an is busy with his survival training and spends his day tormenting a clumsy but delicious T-Rex. Tien and Chiaotzu are training across the planet, but their workout is interrupted by a very demanding Launch. Goku tries to find King Kai on Snake Way while Piccolo's power gets out of control with disastrous results .",7/19/1989,11/1/1996,https://drive.google.com/file/d/1UdQR4m-TKFfSoObcx8D1J9WHID5_g0nr/preview,6,2
13,Goz and Mez,30,After waking up dazed and disoriented Goku sees a fruit tree. Not one to deny his appetite Goku helps himself. But watching him are two giant ogres who want nothing more than to use the hero as a play toy. If Goku can defeat their challenges the ogres vow to show him the way back to Snake Way. But can these two beasts be trusted?,7/26/1989,11/1/1996,https://drive.google.com/file/d/1Ah7vW_Zv0hyt5HblsTsZD8inDFvXFKXk/preview,6,2
14,Princess Snake,30,"Finally back on Snake Way, Goku comes across a house. Thinking it belongs to the legendary King Kai, Goku believes his amazing journey has ended. But he soon finds himself being deceived by Princess Snake ...who will do anything to keep Goku her prisoner forever! ",8/2/1989,11/8/1996,https://drive.google.com/file/d/1WNRog68k1at9gfEUnEdvrxNqPIjQ_iO_/preview,6,2
15,Dueling Piccolos,30,"Still In shock that Radltz was able to dodge his strongest attack, Piccolo flies off the handle causing him to split in two! Gohan takes a break from training and begins to dream of his mother and father. The next day, he decides to visit his mother by traversing the sea on a makeshift raft. He soon gets caught In a storm and remembers he can't swim! Could this be the end of poor Gohan? ",8/9/1989,9/14/1998,https://drive.google.com/file/d/1lHFiVN-p_ePbLGXl8pkR0g-Bah3HKisp/preview,6,2
16,Plight of the Children,30,"After survivilga rough night on a stormy sea, Gohan washes up onshore and is nursed back to health by two orphans named Rom and Chiko. It turns out that they are part of a larger gang of orphans who live on their own and are constantly on the run from meddling adults. Pigero, the orphans  leader, hatches a plan to take the orphaned children to a safer hiding place, but when the police show up everything goes wrong! ",8/16/1989,9/14/1998,https://drive.google.com/file/d/1wOmQi3Xp4DO4wXCy6gcPbY0fCchwirDa/preview,6,2
17,Pendulum Room Peril,30,"Mr. Popo leads Earth's top warriors to Kami's Pendulum Room where the past, present and future exist at the same time. After an eventful trip back in time, they all realize they have to train a lot harder if they are going to stand a chance against the two Saiyans who are speeding ever closer to Earth. ",8/30/1989,11/15/1996,https://drive.google.com/file/d/19RYyH_OAhL3Cg0Tc9mwIcJZPBDd6r4NW/preview,6,2
18,The End of Snake Way,30,Gohan continues his martial arts training under the watchful eye of Piccolo but a strange transformation takes him over. A full moon causes the young Saiyan to rampage out of control! Meanwhile Goku finally makes it to the end of Snake Way and mistakes a friendly ape named Bubbles for the mythical King Kai. With two of our heroes going bananas it looks like the two sinister Saiyans will have an easy time invading Earth!,9/6/1989,1/3/1997,https://drive.google.com/file/d/1-Ft9qewB2wOq-SrnoL5ucLncF-DNoOpp/preview,6,2
19,Defying Gravity,30,Gohan's training with Piccolo continues to intensify but it's Goku who faces the biggest challenge. Goku begins his training but it is unlike anything he's ever experienced before. The intense gravity of King Kai's planet makes training difficult but when he learns that the Saiyans are used to extreme fighting conditions Goku is inspired to give it his all. But will it be enough?,9/13/1989,1/10/1997,https://drive.google.com/file/d/1A6p97f86eipTVchyIoVeld12SsJBV8VQ/preview,6,2
20,Gokus Ancestors,30,After Goku completes the first phase of his special martial arts training King Kai instructs him to bash Gregory with a hammer. Easier said than done. After an exhaustive chase King Kai tells the story of the Saiyan race. Inspired Goku resumes his training and eventually manages to put the hammer to Gregory. Impressed King Kai agrees to train Goku personally. But will it be enough to stop the incoming Saiyan invasion of Earth?,9/20/1989,1/17/1997,https://drive.google.com/file/d/10mc31zpLjp2F1Fi7y6eC5y17m5ZVrgth/preview,6,2
21,Counting Down,30,"With Goku's training with King Kai complete, Master Roshi and the gang summon the Etemal Dragon to wish him back to life! And they're not a moment too soon. There's only one day left before the saiyans arrive! The problem is - It's going to take Goku two days to return on Snake Way! ",9/27/1989,1/24/1997,https://drive.google.com/file/d/1RGwEn1xVyCqFy28jzzyAXvnftCBxLQ0r/preview,6,2
22,The Darkest Day,30,The Saiyans Vegeta and Nappa defiantly announce their arrival on Earth with the complete destruction of East City. Sensing their power Goku Gohan and Krillin prepare for the worst and meet the Saiyans face to face where Piccolo learns of his origins on the planet Namek. Yajirobe also learns of the Saiyans arrival but uses it merely as an occasion for profit. Our heroes are left facing on onslaught of sprouted Saibamen under the grinning command of Vegeta and Nappa.,10/11/1989,2/1/1997,https://drive.google.com/file/d/1dtWD4hIDMZrvMxbpfewHSfJWJYBaCgqs/preview,6,2
23,Saibamen Attack!,30,Having completed their year-long journey to Earth the two sinister Saiyans made their presence known with explosive style! Now Krillin Piccolo and Gohan stand face to face with these Saiyan monsters and the diabolical henchmen they've brought with them. Can they hold out until Goku arrives?,10/18/1989,2/8/1997,https://drive.google.com/file/d/1sbuhDv_DijqQEFEi8rntqAdELI463waU/preview,6,2
24,The Power of Nappa,30,Enraged over the loss of his friend Yamcha Krillin unleashes a powerful attack that destroys the maniacal Saibamen once and for all. But the victory is only temporary. Now the Earth's defenders must battle the Saiyans themselves- and the terrifying Nappa is ready for a fight!,10/25/1989,2/15/1997,https://drive.google.com/file/d/1BN7hffwz7zjFo1RkZnlIJDn89zPo0LKm/preview,6,2
25,Sacrifice,30,In a desperate attempt to save his friends Chiaotzu sacrifices himself to stop the evil Nappa. But when the smoke clears Nappa is left standing. Now Tien and the others must carry on without their friend as Nappa launches another devastating attack. And though his body is broken Tien has one trick left that could put the diabolical Saiyan down once and for all!,11/1/1989,2/22/1997,https://drive.google.com/file/d/1qjNbGWy3S2hSFrgiTUrPTGdD0Qo47FUF/preview,6,2
26,Nappa's Rampage,30,Vegeta has called a halt to the fighting and Nappa uses the time to go on a rampage! Meanwhile Goku reaches the end of Snake Way and races to rejoin his friends. But is he already too late to save them from the deadly Saiyans?,11/8/1989,2/22/1997,https://drive.google.com/file/d/1C4zmvin5abILowiq5a8YsbcGHITLe3xa/preview,6,2
27,Nimbus Speed,30,Piccolo Gohan and Krillin do their best to stop the Saiyan invaders Vegeta and Nappa from finding the Dragon Balls and taking over the planet. Meanwhile Goku is flying back to Earth on the Flying Nimbus with more power than he has ever had before. Will it be enough? And will he arrive in time?,11/22/1989,4/12/1997,https://drive.google.com/file/d/11v8fzDMHn11cpdglFQucBrdaDV19Meai/preview,6,2
28,Gokus Arrival,30,Piccolo makes the ultimate sacrifice in an effort to save Gohan from the Saiyan's ruthless rampage. Just when all seems hopeless Goku finally returns to Earth with an incredible new level of power and confronts the Saiyans. But will this new power be enough to defeat Nappa and Vegeta?,11/29/1989,4/19/1997,https://drive.google.com/file/d/1_qc6eAtnFuOo14qTGvkcnVEy1oLUMUif/preview,6,2
29,Lesson Number One,30,Locked in the final battle with Earth's Saiyan attackers Goku begins to demonstrate the skills and training he received from King Kai beginning with a devastating attack on Nappa. But when Nappa concedes defeat under the command of Vegeta he turns on Gohan and Krillin only to be stopped by Goku's Kaio-Ken attack. Broken and defeated Nappa is finally vanquished by Vegeta leaving Goku to face him alone.,12/6/1989,4/26/1997,https://drive.google.com/file/d/1Iccq__v4GsVJ8sqztHBVbQcOfGV3byiE/preview,6,2
30,Goku vs. Vegeta,30,After sending Gohan and Krillin away Goku decides to take on the mighty Vegeta all by himself. As his family and friends wait and wonder Goku and the powerful Saiyan face off in a destructive battle. Both warriors seem evenly matched but both are hiding their true strength. Will Goku's hidden abilities be enough to put an end to this once and for all?,12/13/1989,5/3/1997,https://drive.google.com/file/d/1UJpd2JI7bpCgCw8EyYsViavqbp_iKqt1/preview,6,2
31,Saiyan Sized Secret,30,Vegeta and Goku continue their one-on-one battle of strength will and determination. Blow by blow the two warriors seem evenly matched until Vegeta reveals the secret power of the Saiyansâ€...the ability to transform into a giant ape whose rage is capable of destroying entire civilizations and planets! Can Goku find a way to stop this monstrous assault?,12/20/1989,5/3/1997,https://drive.google.com/file/d/1pLJqhmP9ul81_xfID2nadMF3CcpBlSAB/preview,6,2
32,Spirit Bomb Away,30,The battle continues between Goku and Vegeta who is now a completely transformed Saiyan Warrior. When Gohan senses the danger his dad is facing he convinces Krillin that they must return and fight. Goku is left with no choice except to use the Spirit Bomb. But when that fails he is left in the clutches of Vegeta with no help in sight!,1/17/1990,5/10/1997,https://drive.google.com/file/d/1bw1bmVExpmw0-OR5lcUUw0NlkFArU3Uh/preview,6,2
33,Hero in the Shadows,30,With Goku caught in the clutches of the giant ape Vegeta Krillin and Gohan launch a desperate attempt to save him! All is for naught however as Krillin's Destructo Disk fails to sever the Saiyan's tail. But a single hope remains for reversing Vegeta's monstrous transformation when an unlikely hero steps out of the shadows - Yajirobe!,1/24/1990,5/17/1997,https://drive.google.com/file/d/19g5buPHVmHqPYt5A4JtoiUByHC087Gbm/preview,6,2
34,Krillins Offensive,30,While Gohan fights for his life against Vegeta Goku passes the power of the Spirit Bomb to Krillin. With King Kai's guidance Krillin launches the bomb at Vegeta in an attack that sends the evil Saiyan sky-high. Now that he's been sent hurtling toward the outer-reaches of the Earth's atmosphere this is surely the last our heroes have seen of Vegeta - or is it?,1/31/1990,5/17/1997,https://drive.google.com/file/d/1e44buguNw9VwcZC6QLkdPoOZpMwVpF7B/preview,6,2
35,Mercy,30,Gohan transforms into the giant ape much to the dismay of the angry Vegeta. After a grueling battle Vegeta managed to cut off Gohan's tail taking away his ability to transform. But the giant ape fell and crushed Vegeta leaving him beaten and defeated. Krillin decides to finish the Saiyan once and for all but Goku has other plansâ€...,2/7/1990,5/24/1997,https://drive.google.com/file/d/1jvO7-qh8HXQSB1QHoUITVk-uJJoAEDl2/preview,6,2
36,Picking Up the Pieces,30,The battle with the Saiyans finally won Goku Krillin and the others mourn the loss of Yamcha Tien Chiaotzu and Piccolo. With Kami also gone the Earth's Dragon Balls have disappeared. There is no hope for wishing any of the fallen heroes back to lifeâ€... Or is there?,2/14/1990,9/13/1997,https://drive.google.com/file/d/1AfX7-smwDI61-UfCmJHewjOuf7YR6ZYo/preview,6,2
37,Plans for Departure,30,As the weak and weary warriors of Planet Earth are bandaged and cared for Bulma accidentally destroys the Saiyan spaceship leaving no way to get to Planet Namek! But Mr. Popo reveals that there might be another spacecraft they can use. Can they get to it in time and will the old and forgotten ship even work if they do?,2/21/1990,9/13/1997,https://drive.google.com/file/d/1PeK2bZP9UBJhaahzLgwqb0fTONT0LChq/preview,6,2
38,Nursing Wounds,30,Goku Krillin and Gohan nurse their wounds and prepare for the return of the Saiyan attackers while Bulma follows Mr. Popo to find a spaceship to take her to Planet Namek. There she plans to find the Dragon Balls in attempt to bring back Piccolo. Can Goku recover before it's too late? Can Bulma get to Planet Namek and once there what obstacles await her?,2/28/1990,9/20/1997,https://drive.google.com/file/d/1vtQA1Ufkju1RsSNTzDYmhemsk06RvcT0/preview,6,2
39,Friends or Foes?,30,Gohan joins Bulma and Krillin as they head to Planet Namek in search of the Dragon Balls. What begins as a mundane trip becomes chaotic when they encounter a bizarre situation in the emptiness of space. Finding themselves on some type of space station they set out on foot to find their escape.,3/7/1990,9/20/1997,https://drive.google.com/file/d/1KH8IKpDXpBngpH1WkgOpzmeONwp9dkFs/preview,6,2
40,Held Captive,30,"Bulma, Gohan, and Krillin have been taken captive by an army of children! These young soldiers believe that Gohan and his friends are allies of Frieza, the evil warlord who destroyed their home planet. Now, with time running out, the Z-gang must find a way to convince the kids of their innocence.",3/14/1990,9/20/1997,https://drive.google.com/file/d/1gklEP-I46yCCHHSfG0tWlqJAvZGMROnD/preview,7,2
41,Friends or Foes,30,"Bulma, Gohan, and Krillin make a rough landing on what they believe to be Planet Namek, but when their ship falls off a cliff, it seems their journey will come to an untimely end. Luckily for our heroes, two kind Namekians appear in the nick of time and pull them to safety. Offering to help them in their quest, the Namekian named Raiti leads the gang on a search for the Dragon Balls.",3/21/1990,9/20/1997,https://drive.google.com/file/d/1uA-IzCtpE3BmEBTNnKkUY4EKqlWA_VVg/preview,7,2
42,The Search Continues,30,"On Planet Namek, Gohan, Krillin, and Bulma continue their search for the Dragon Balls with the help of their new friend Zaacro. Standing between them and their goal, however, is one mean giant! Meanwhile, back on Earth, Goku has escaped from the hospital to begin training for his upcoming re-match with Vegeta.",4/4/1990,9/20/1997,https://drive.google.com/file/d/1QKkuFmacTvfgUp558ia8TkaG19bwwOIN/preview,7,2
43,A Friendly Surprise,30,"As Bulma, Krillin, and Gohan close in on the last of the Dragon Balls, they uncover a shocking secret about their Namekian friends. And while Goku works to build up his strength back on Earth, far across the galaxy, Vegeta has begun making plans of his own. The Saiyan prince's sights are set on one thing —revenge.",4/11/1990,9/27/1997,https://drive.google.com/file/d/1J8kEHRBlBHUk197j4wcQ_nNVSEngNm-b/preview,7,2
44,Brood of Evil,30,"Bulma, Krillin, and Gohan finally complete their journey to Planet Namek and begin their search for the Dragon Balls. Unfortunately, the gang soon discovers that they aren't the only ones seeking the magical orbs — Vegeta has also come to Namek!",4/18/1990,9/27/1997,https://drive.google.com/file/d/16_9REZH4mMzwvxyecGOMCcobM3Z76k9i/preview,7,2
45,Frieza Strikes!,30,"The hunt for the Dragon Balls takes a turn for the worse when Krillin, Gohan, and Bulma see Vegeta's space pod land on Planet Namek. But little do our heroes realize, Vegeta is the least of their problems. An evil force of epic proportions has also come to Namek in search of the Dragon Balls —the tyrant Frieza!",4/25/1990,10/4/1997,https://drive.google.com/file/d/1nk7PWmGwMzl4PaBeFFcRSueovmkOuUtX/preview,7,2
